Aircraft,FlyawayCost,FFD,Year1,Thrust,Climb,MTOW,basAvionics,advAvionics,Stealth
P/F-80A,11.462,1944,1,8.294,8.429,9.202,0,0,0
F-84B,12.008,1946,3,8.294,8.556,9.55,0,0,0
F-80B,11.462,1947,4,8.412,8.429,9.202,0,0,0
F-86A,12.092,1947,4,8.556,8.919,9.532,0,0,0
F-84C,12.008,1947,4,8.294,8.338,9.55,0,0,0
F-80C,11.445,1948,5,8.594,8.835,9.409,0,0,0
F-84D,12.265,1949,6,8.517,8.309,9.55,0,0,0
F-94A,12.461,1949,6,8.434,8.355,9.47,0,0,0
F-84E,12.265,1949,6,8.517,8.71,9.597,0,0,0
F-84F,13.553,1950,7,8.885,9.012,9.87,0,0,0
F-86E,12.299,1950,7,8.556,8.889,9.587,0,0,0
F-86D,12.748,1950,7,8.942,9.393,9.807,0,0,0
F-84G,12.377,1951,8,8.623,8.234,9.597,0,0,0
F-89C,13.589,1951,8,9.602,9.417,10.407,0,0,0
F-94B,12.187,1951,8,8.7,8.832,9.509,0,0,0
F-86F,12.26,1952,9,8.684,9.105,9.629,0,0,0
F-89D,13.594,1952,9,9.575,9.031,10.524,0,0,0
F-94C,13.188,1952,9,9.077,8.985,9.815,0,0,0
F-86H,13.275,1953,10,9.096,9.465,9.789,0,0,0
F-100A,13.83,1953,10,9.602,10.077,10.126,0,0,0
F-86K,12.998,1954,11,8.923,9.363,9.696,0,0,0
F-101A,14.882,1954,11,10.309,10.694,10.584,0,0,0
F-102A,13.998,1954,11,9.68,9.473,10.106,0,0,0
F-86L,12.748,1955,12,8.942,9.409,9.825,0,0,0
F-89H,13.804,1955,12,9.575,9.031,10.524,0,0,0
F-100C,13.405,1955,12,9.68,9.98,10.225,0,0,0
F-104A,14.346,1956,13,9.602,10.779,9.797,0,0,0
F-100D,13.455,1956,13,9.68,9.852,10.27,0,0,0
F-105B,15.547,1956,13,10.065,10.434,10.481,1,0,0
F-101C,14.059,1957,14,9.616,10.714,10.584,0,0,0
F-101B,14.377,1957,14,9.735,10.804,10.618,0,0,0
F-100F,13.598,1957,14,9.68,10.077,10.355,0,0,0
F-104B,14.691,1957,14,9.602,10.779,9.788,0,0,0
F-106A,15.363,1957,14,10.106,10.664,10.564,1,0,0
F-104C,14.221,1958,15,9.668,10.779,9.877,0,0,0
F-105D,14.576,1960,17,10.185,10.449,10.481,1,0,0
F-104G,14.166,1962,19,9.655,10.779,9.935,1,0,0
F-105F,14.604,1963,20,10.185,10.449,10.598,1,0,0
F-4C,14.457,1963,20,10.434,10.61,10.555,1,0,0
F-5A,13.536,1963,20,9.007,10.322,9.348,1,0,0
F-5B,13.998,1964,21,9.007,10.322,9.586,1,0,0
F-4D,14.346,1965,22,10.434,10.599,10.566,1,0,0
F-111A,15.92,1965,22,10.519,10.148,11.052,1,0,0
F-111B,15.979,1966,23,10.609,9.966,11.19,1,0,0
F-4E,14.691,1967,24,10.486,11.025,10.546,1,0,0
F-111F,16.148,1971,28,10.824,10.148,11.324,1,0,0
F-5E,14.557,1972,29,9.21,10.449,9.499,1,0,0
F-14A,17.453,1972,29,10.641,10.389,10.998,0,1,0
F-15A,17.253,1972,29,10.772,10.597,10.597,0,1,0
AV-8B,17.217,1978,35,10.065,9.596,10.041,0,1,0
F/A-18A,17.183,1978,35,10.361,10.714,10.545,0,1,0
F-16A,16.497,1979,36,10.078,11.035,10.138,0,1,0
F-16C,16.749,1979,36,10.274,10.82,10.184,0,1,0
F-15C,17.351,1979,36,10.772,10.82,10.703,0,1,0
F-14B,17.728,1987,44,10.897,10.82,11.029,0,1,0
F/A-18C,17.183,1987,44,10.474,10.714,10.511,0,1,0
F-15E,17.574,1987,44,10.972,10.84,10.91,0,1,0
F-14D,18.091,1991,48,10.889,10.84,11.019,0,1,0
F/A-18E,17.867,1995,52,10.687,10.712,10.758,0,1,0
F-22A,18.817,1997,54,11.156,11.29,10.968,0,0,1
F-35A,18.959,2007,64,10.669,11.082,10.811,0,0,1
